exp,no,item,condition,group,cb,r1,r2,r3,r4,r5,r6,r7,left,right,question
1.0,2,1,focus,b,y,Ami,a gyümölcsöket,"illeti,",Anna,tegnap,egy banánt,evett.,1b,1a,
2.0,99,30,self-directed,c,n,A tanár,"nem bánta,",hogy,a diák,felajánlotta,,a segítségét.,tanár,diák,Kinek a segítségéről van szó?
1.0,44,15,focus,a,y,Ami,a kincseket,"illeti,",a kalóz,éjjel,az aranyat,találta meg.,15b,15a,
2.0,65,21,self-directed-x,b,n,Az orvos,"hallotta,",hogy,a tűzoltó,megmondta,,a véleményét.,orvos,tűzoltó,Kinek a véleményéről van szó?
1.0,18,6,contrastive,b,y,Hallottam,hogy,Éva,többek,között,a tulipánt,szereti.,6b,6a,
2.0,97,29,self-directed-x,a,n,A munkás,"azt hitte,",hogy,a földműves,befejezte,,a munkáját.,munkás,földműves,Kinek a munkájáról van szó?
1.0,7,3,exclusive,c,n,Ami,a bútorokat,"illeti,",az asztalos,csak,egy könyvespolcot,készített.,3a,3b,
2.0,96,29,other-directed,c,y,A földműves,"azt hitte,",hogy,a munkás,elvette,,a munkáját.,munkás,földműves,Kinek a munkájáról van szó?
1.0,20,7,focus,b,y,Ami,a bevásárlást,"illeti,",mi,tegnap,ásványvizet,vettünk.,7b,7a,
2.0,103,31,other-directed-x,a,n,A művész,"mondta,",hogy,az üzletember,büszke volt,,a kiállítására.,művész,üzletember,Kinek a kiállításáról van szó?
1.0,42,14,contrastive,a,y,Múltkor,a könyhában,a szerelő,többek,között,a hűtőt,üzemelte be.,14b,14a,
2.0,84,26,other-directed,c,y,A pilóta,"úgy vélte,",hogy,a professzor,irigykedett,,a kapcsolataira.,professzor,pilóta,Kinek a kapcsolatairól van szó?
1.0,6,2,contrastive,a,y,Tegnap,reggel,a kisfiú,többek,között,egy ceruzát,kapott.,2b,2a,
2.0,75,24,self-directed,c,n,Az építész,"megköszönte,",hogy,a mérnök,megosztotta,,a terveit.,építész,mérnök,Kinek a terveiről van szó?
1.0,9,3,contrastive,b,n,Tegnap,a műhelyben,az asztalos,többek,között,egy könyvespolcot,készített.,3a,3b,
2.0,98,29,other-directed-x,b,y,A munkás,"azt hitte,",hogy,a földműves,elvette,,a munkáját.,földműves,munkás,Kinek a munkájáról van szó?
1.0,21,7,contrastive,c,n,Tegnap,este,mi,többek,között,ásványvizet,vettünk.,7a,7b,
2.0,69,22,self-directed-x,c,n,A menedzser,"sejtette,",hogy,a vezérigazgató,elherdálta,,a vagyonát.,menedzser,vezérigazgató,Kinek a vagyonáról van szó?
1.0,50,17,focus,c,y,Ami,a ruhákat,"illeti,",ez a szabó,általában,ingeket,foltozott be.,17b,17a,
2.0,105,31,other-directed,c,n,Az üzletember,"mondta,",hogy,a művész,büszke volt,,a kiállítására.,üzletember,művész,Kinek a kiállításáról van szó?
1.0,35,12,focus,a,n,Ami,a kertet,"illeti,",a férfi,tíz éve,egy fenyőfát,ültetett el.,12a,12b,
2.0,76,24,other-directed,a,y,Az építész,"megköszönte,",hogy,a mérnök,támogatta,,a terveit.,mérnök,építész,Kinek a terveiről van szó?
1.0,14,5,focus,c,y,Ami,a süteményeket,"illeti,",én,múltkor,a fánkot,sütöttem.,5b,5a,
2.0,68,22,other-directed,b,y,A vezérigazgató,"sejtette,",hogy,a menedzser,vágyott,,a vagyonára.,menedzser,vezérigazgató,Kinek a vagyonáról van szó?
1.0,12,4,contrastive,c,y,Tavaly,ilyenkor,a katonaság,többek,között,a helikoptert,tesztelte.,4b,4a,
2.0,91,28,self-directed,a,n,Mária,"mondta,",hogy,Julcsi,kiadta,,a könyvét.,Mária,Julcsi,Kinek a  könyvéről van szó?
1.0,23,8,focus,c,n,Ami,az innivalót,"illeti,",Eszter,ma,kávét,ivott.,8a,8b,
2.0,94,28,other-directed-x,a,y,Julcsi,"mondta,",hogy,Mária,visszaadta,,a könyvét.,Mária,Julcsi,Kinek a  könyvéről van szó?
1.0,32,11,focus,c,y,Ami,a járműveket,"illeti,",a turisták,a hétvégén,egy robogót,béreltek ki.,11b,11a,
2.0,80,25,other-directed,b,y,Az ügyész,"számított rá,",hogy,a tudós,kritizálja,,a vallomását.,tudós,ügyész,Kinek a vallomásáról van szó?
1.0,17,6,focus,a,n,Ami,a virágokat,"illeti,",Éva,mostanában,a tulipánt,szereti.,6a,6b,
2.0,61,20,self-directed-x,a,n,A rendező,"megemlítette,",hogy,a programozó,töprengett,,a képességein.,rendező,programozó,Kinek a képességeiről van szó?
1.0,3,1,contrastive,c,n,Tegnap,reggel,Anna,többek,között,egy banánt,evett.,1a,1b,
2.0,72,23,other-directed,c,y,A rendőr,"tudta,",hogy,a biztonsági őr,ellopta,,a fizetését.,biztonsági őr,rendőr,Kinek a fizetésről van szó?
1.0,24,8,contrastive,a,y,Ma,reggel,Eszter,többek,között,kávét,ivott.,8b,8a,
2.0,66,21,other-directed-x,c,y,Az orvos,"hallotta,",hogy,a tűzoltó,megfontolta,,a véleményét.,tűzoltó,orvos,Kinek a véleményéről van szó?
1.0,34,12,exclusive,c,y,Ami,a kertet,"illeti,",a férfi,csak,egy fenyőfát,ültetett el.,12b,12a,
2.0,58,19,other-directed-x,a,y,A dolgozó,"említette,",hogy,a szakács,megdicsérte,,a főzőtudását.,szakács,dolgozó,Kinek a főzőtudásáról van szó?
1.0,37,13,exclusive,a,n,Ami,az állatokat,"illeti,",a gyerekek,csak,az elefántot,nézték meg.,13a,13b,
2.0,88,27,other-directed,a,y,A katona,"látta,",hogy,a kórboncnok,lenézte,,a munkáját.,kórboncnok,katona,Kinek a munkájáról van  szó?
1.0,5,2,focus,c,n,Ami,az írószereket,"illeti,",a kisfiú,tegnap,egy ceruzát,kapott.,2a,2b,
2.0,92,28,other-directed,b,y,Mária,"mondta,",hogy,Julcsi,visszaadta,,a könyvét.,Julcsi,Mária,Kinek a  könyvéről van szó?
1.0,49,17,exclusive,b,n,Ami,a ruhákat,"illeti,",ez a szabó,csak,ingeket,foltozott be.,17a,17b,
2.0,63,21,self-directed,c,n,A tűzoltó,"hallotta,",hogy,az orvos,megmondta,,a véleményét.,tűzoltó,orvos,Kinek a véleményéről van szó?
1.0,40,14,exclusive,b,y,Ami,a konyhát,"illeti,",a szerelő,csak,a hűtőt,üzemelte be.,14b,14a,
2.0,110,32,other-directed-x,b,y,A politikus,"meglepődött,",hogy,az újságíró,kifogásolta,,a nyilatkozatát.,újságíró,politikus,Kinek a nyilatkozatáról van szó?
1.0,39,13,contrastive,c,n,Múltkor,az állatkertben,a gyerekek,többek,között,az elefántot,nézték meg.,13a,13b,
2.0,59,20,self-directed,b,n,A programozó,"megemlítette,",hogy,a rendező,töprengett,,a képességein.,programozó,rendező,Kinek a képességeiről van szó?
1.0,26,9,focus,a,y,Ami,a nyelveket ,"illeti,",a diákok,régen,németet,tanultak.,9b,9a,
2.0,77,24,self-directed-x,b,n,A mérnök,"megköszönte,",hogy,az építész,megosztotta,,a terveit.,mérnök,építész,Kinek a terveiről van szó?
1.0,41,14,focus,c,n,Ami,a konyhát,"illeti,",a szerelő,múltkor,a hűtőt,üzemelte be.,14a,14b,
2.0,74,23,other-directed,b,y,A biztonsági őr,"tudta,",hogy,a rendőr,ellopta,,a fizetését.,rendőr,biztonsági őr,Kinek a fizetésről van szó?
,112,33,attention-check,b,y,Ez a mondat,"nem igazi,",úgyhogy,kérlek,válaszd,,a burgonyát.,paradicsom,burgonya,
2.0,93,28,self-directed-x,c,n,Julcsi,"mondta,",hogy,Mária,kiadta,,a könyvét.,Julcsi,Mária,Kinek a  könyvéről van szó?
1.0,13,5,exclusive,b,n,Ami,a süteményeket,"illeti,",én,csak,a fánkot,sütöttem.,5a,5b,
2.0,102,30,other-directed-x,c,y,A diák,"nem bánta,",hogy,a tanár,elutasította,,a segítségét.,tanár,diák,Kinek a segítségéről van szó?
,117,35,attention-check,a,n,Ha,"figyelsz arra,",hogy,mit olvasol,válaszd,,a madarat.,pelikán,tigris,
1.0,29,10,focus,b,n,Ami,az új fajokat,"illeti,",Marci,tavaly,egy lepkét,fedezett fel.,10a,10b,
2.0,73,23,self-directed-x,a,n,A biztonsági őr,"tudta,",hogy,a rendőr,eljátszotta,,a fizetését.,biztonsági őr,rendőr,Kinek a fizetésről van szó?
,121,36,attention-check,b,n,Figyelsz?,"Ha igen,",akkor,melyik,a nap ,utolsó,étkezése?,vacsora,reggeli,Melyiket választod?
1.0,11,4,focus,b,n,Ami,a harci eszközöket,"illeti,",a katonaság,tavaly,a helikoptert,tesztelte.,4a,4b,
2.0,67,22,self-directed,a,n,A vezérigazgató,"sejtette,",hogy,a menedzser,elherdálta,,a vagyonát.,vezérigazgató,menedzser,Kinek a vagyonáról van szó?
,116,34,attention-check,c,y,Ez a mondat,"egy figyelmi próba,",itt,válaszd,a kisebb,,állatot.,hangya,jegesmedve,
1.0,31,11,exclusive,b,n,Ami,a járműveket,"illeti,",a turisták,csak,egy robogót,béreltek ki.,11a,11b,
2.0,95,29,self-directed,b,n,A földműves,"azt hitte,",hogy,a munkás,befejezte,,a munkáját.,földműves,munkás,Kinek a munkájáról van szó?
,115,34,attention-check,b,n,Ez a mondat,"egy figyelmi próba,",itt,válaszd,a kisebb,,állatot.,jegesmedve,hangya,
1.0,51,17,contrastive,a,n,Általában,a műhelyben,ez a szabó,többek,között,ingeket,foltozott be.,17a,17b,
2.0,90,27,other-directed-x,c,y,A kórboncnok,"látta,",hogy,a katona,lenézte,,a munkáját.,katona,kórboncnok,Kinek a munkájáról van  szó?
,111,33,attention-check,a,n,Ez a mondat,"nem igazi,",úgyhogy,kérlek,válaszd,,a burgonyát.,burgonya,paradicsom,
1.0,27,9,contrastive,b,n,Régen,az iskolában,a diákok,többek,között,németet,tanultak.,9a,9b,
2.0,56,19,other-directed,b,y,A szakács,"említette,",hogy,a dolgozó,megdicsérte,,a főzőtudását.,dolgozó,szakács,Kinek a főzőtudásáról van szó?
,113,33,attention-check,c,n,Ez a mondat,"nem igazi,",úgyhogy,kérlek,válaszd,,a burgonyát.,burgonya,paradicsom,
1.0,52,18,exclusive,c,y,Ami,a táncot,"illeti,",Péter,csak,Marit,kérte fel.,18b,18a,
2.0,55,19,self-directed,a,n,A szakács,"említette,",hogy,a dolgozó,kérkedett,,a főzőtudásával.,szakács,dolgozó,Kinek a főzőtudásáról van szó?
,120,36,attention-check,a,y,Figyelsz?,"Ha igen,",akkor,melyik,a nap ,utolsó,étkezése?,reggeli,vacsora,Melyiket választod?
1.0,43,15,exclusive,c,n,Ami,a kincseket,"illeti,",a kalóz,csak,az aranyat,találta meg.,15a,15b,
2.0,86,26,other-directed-x,b,y,A professzor,"úgy vélte,",hogy,a pilóta,irigykedett,,a kapcsolataira.,pilóta,professzor,Kinek a kapcsolatairól van szó?
,118,35,attention-check,b,y,Ha,"figyelsz arra,",hogy,mit olvasol,válaszd,,a madarat.,tigris,pelikán,
1.0,47,16,focus,b,n,Ami,az ebédet,"illeti,",a nagyi,ma,levest,tálalt fel.,16a,16b,
2.0,64,21,other-directed,a,y,A tűzoltó,"hallotta,",hogy,az orvos,megfontolta,,a véleményét.,orvos,tűzoltó,Kinek a véleményéről van szó?
,122,36,attention-check,c,y,Figyelsz?,"Ha igen,",akkor,melyik,a nap ,utolsó,étkezése?,reggeli,vacsora,Melyiket választod?
1.0,15,5,contrastive,a,n,Tegnap,este,én,többek,között,a fánkot,sütöttem.,5a,5b,
2.0,106,31,self-directed-x,a,y,Az üzletember,"mondta,",hogy,a művész,szervezte meg,,a kiállítását.,művész,üzletember,Kinek a kiállításáról van szó?
,119,35,attention-check,c,n,Ha,"figyelsz arra,",hogy,mit olvasol,válaszd,,a madarat.,pelikán,tigris,
1.0,45,15,contrastive,b,n,Éjjel,a szigeten,a kalóz,többek,között,az aranyat,találta meg.,15a,15b,
2.0,109,32,self-directed-x,a,n,A politikus,"meglepődött,",hogy,az újságíró,megbánta,,a nyilatkozatát.,politikus,újságíró,Kinek a nyilatkozatáról van szó?
,114,34,attention-check,a,y,Ez a mondat,"egy figyelmi próba,",itt,válaszd,a kisebb,,állatot.,hangya,jegesmedve,
