no,item,exp,condition,group,cb,r1,r2,r3,r4,r5,r6,r7,left,right,question,target
74,23,2,other-directed,b,y,A biztonsági őr,"tudta,",hogy,a rendőr,ellopta,,a fizetését.,rendőr,biztonsági őr,Kinek a fizetésről van szó?,biztonsági őr
31,11,1,exclusive,b,n,Ami,a járműveket,"illeti,",a turisták,csak,egy robogót,béreltek ki.,11a,11b,,11a
107,32,2,self-directed,b,n,Az újságíró,"meglepődött,",hogy,a politikus,megbánta,,a nyilatkozatát.,újságíró,politikus,Kinek a nyilatkozatáról van szó?,politikus
36,12,1,contrastive,b,y,Tíz évvel ez előtt,a kertben,a férfi,többek,között,egy fenyőfát,ültetett el.,12b,12a,,12b
92,28,2,other-directed,b,y,Mária,"mondta,",hogy,Julcsi,visszaadta,,a könyvét.,Julcsi,Mária,Kinek a könyvéről van szó?,Mária
54,18,1,contrastive,b,y,Tegnap este,a bálon,Péter,többek,között,Marit,kérte fel.,18b,18a,,18b
110,32,2,other-directed-x,b,y,A politikus,"meglepődött,",hogy,az újságíró,kifogásolta,,a nyilatkozatát.,újságíró,politikus,Kinek a nyilatkozatáról van szó?,politikus
115,34,,attention-check,b,n,Ez a mondat,"egy figyelmi próba,",itt,válaszd,a kisebb,,állatot.,jegesmedve,hangya,,hangya
45,15,1,contrastive,b,n,Éjjel,a szigeten,a kalóz,többek,között,az aranyat,találta meg.,15a,15b,,15b
59,20,2,self-directed,b,n,A programozó,"megemlítette,",hogy,a rendező,töprengett,,az ügyességén.,programozó,rendező,Kinek az ügyességéről van szó?,rendező
98,29,2,other-directed-x,b,y,A munkás,"azt hitte,",hogy,a földműves,elvette,,a munkáját.,földműves,munkás,Kinek a munkájáról van szó?,munkás
9,3,1,contrastive,b,n,Tegnap,a műhelyben,az asztalos,többek,között,egy könyvespolcot,készített.,3a,3b,,3b
101,30,2,self-directed-x,b,n,A diák,"nem bánta,",hogy,a tanár,felajánlotta,,a segítségét.,diák,tanár,Kinek a segítségéről van szó?,tanár
34,12,1,exclusive,c,y,Ami,a kertet,"illeti,",a férfi,csak,egy fenyőfát,ültetett el.,12b,12a,,12a
66,21,2,other-directed-x,c,y,Az orvos,"hallotta,",hogy,a tűzoltó,megfontolta,,a véleményét.,tűzoltó,orvos,Kinek a véleményéről van szó?,orvos
23,8,1,focus,c,n,Ami,az innivalót,"illeti,",Eszter,ma,kávét,ivott.,8a,8b,,
105,31,2,other-directed,c,n,Az üzletember,"mondta,",hogy,a művész,büszke volt,,a kiállítására.,üzletember,művész,Kinek a kiállításáról van szó?,művész
102,30,2,other-directed-x,c,y,A diák,"nem bánta,",hogy,a tanár,elutasította,,a segítségét.,tanár,diák,Kinek a segítségéről van szó?,diák
43,15,1,exclusive,c,n,Ami,a kincseket,"illeti,",a kalóz,csak,az aranyat,találta meg.,15a,15b,,15a
122,36,,attention-check,c,y,Figyelsz?,"Ha igen,",akkor,melyik,a nap ,utolsó,étkezése?,reggeli,vacsora,Melyiket választod?,vacsora
16,6,1,exclusive,c,y,Ami,a virágokat,"illeti,",Éva,csak,a tulipánt,szereti.,6b,6a,,6a
90,27,2,other-directed-x,c,y,A kórboncnok,"látta,",hogy,a katona,lenézte,,a munkáját.,katona,kórboncnok,Kinek a munkájáról van  szó?,kórboncnok
81,25,2,self-directed-x,c,n,A tudós,"számított rá,",hogy,az ügyész,felolvassa,,a vallomását.,tudós,ügyész,Kinek a vallomásáról van szó?,ügyész
39,13,1,contrastive,c,n,Múltkor,az állatkertben,a gyerekek,többek,között,az elefántot,nézték meg.,13a,13b,,13b
108,32,2,other-directed,c,y,Az újságíró,"meglepődött,",hogy,a politikus,kifogásolta,,a nyilatkozatát.,politikus,újságíró,Kinek a nyilatkozatáról van szó?,újságíró
32,11,1,focus,c,y,Ami,a járműveket,"illeti,",a turisták,a hétvégén,egy robogót,béreltek ki.,11b,11a,,
116,34,,attention-check,c,y,Ez a mondat,"egy figyelmi próba,",itt,válaszd,a kisebb,,állatot.,hangya,jegesmedve,,hangya
50,17,1,focus,c,y,Ami,a ruhákat,"illeti,",ez a szabó,általában,ingeket,foltozott be.,17b,17a,,
48,16,1,contrastive,c,y,Ma,ebédre,a nagyi,többek,között,levest,tálalt fel.,16b,16a,,16b
57,19,2,self-directed-x,c,n,A dolgozó,"említette,",hogy,a szakács,kérkedett,,a főzőtudásával.,dolgozó,szakács,Kinek a főzőtudásáról van szó?,szakács
14,5,1,focus,c,y,Ami,a süteményeket,"illeti,",én,múltkor,a fánkot,sütöttem.,5b,5a,,
93,28,2,self-directed-x,c,n,Julcsi,"mondta,",hogy,Mária,kiadta,,a könyvét.,Julcsi,Mária,Kinek a könyvéről van szó?,Mária
41,14,1,focus,c,n,Ami,a konyhát,"illeti,",a szerelő,múltkor,a hűtőt,üzemelte be.,14a,14b,,
78,24,2,other-directed-x,c,y,A mérnök,"megköszönte,",hogy,az építész,támogatta,,a terveit.,építész,mérnök,Kinek a terveiről van szó?,mérnök
84,26,2,other-directed,c,y,A pilóta,"úgy vélte,",hogy,a professzor,irigykedett,,a kapcsolataira.,professzor,pilóta,Kinek a kapcsolatairól van szó?,pilóta
69,22,2,self-directed-x,c,n,A menedzser,"sejtette,",hogy,a vezérigazgató,elherdálta,,a vagyonát.,menedzser,vezérigazgató,Kinek a vagyonáról van szó?,vezérigazgató
3,1,1,contrastive,c,n,Tegnap,reggel,Anna,többek,között,egy banánt,evett.,1a,1b,,1b
7,3,1,exclusive,c,n,Ami,a bútorokat,"illeti,",az asztalos,csak,egy könyvespolcot,készített.,3a,3b,,3a
119,35,,attention-check,c,n,Ha,"figyelsz arra,",amit,olvasol,válaszd,majd,a madarat.,pelikán,tigris,Melyiket választod?,pelikán
5,2,1,focus,c,n,Ami,az írószereket,"illeti,",a kisfiú,tegnap,egy ceruzát,kapott.,2a,2b,,
87,27,2,self-directed,c,n,A katona,"látta,",hogy,a kórboncnok,odafigyelt,,a munkájára.,katona,kórboncnok,Kinek a munkájáról van  szó?,kórboncnok
52,18,1,exclusive,c,y,Ami,a táncot,"illeti,",Péter,csak,Marit,kérte fel.,18b,18a,,18a
113,33,,attention-check,c,n,Ez a mondat,"nem igazi,",úgyhogy,kérlek,válaszd,,a burgonyát.,burgonya,paradicsom,,burgonya
25,9,1,exclusive,c,n,Ami,a nyelveket ,"illeti,",a diákok,csak,németet,tanultak.,9a,9b,,9a
60,20,2,other-directed,c,y,A programozó,"megemlítette,",hogy,a rendező,ámult,,az ügyességén.,rendező,programozó,Kinek az ügyességéről van szó?,programozó
99,30,2,self-directed,c,n,A tanár,"nem bánta,",hogy,a diák,felajánlotta,,a segítségét.,tanár,diák,Kinek a segítségéről van szó?,diák
30,10,1,contrastive,c,y,Tavaly,nyáron,Marci,többek,között,egy lepkét,fedezett fel.,10b,10a,,10b
72,23,2,other-directed,c,y,A rendőr,"tudta,",hogy,a biztonsági őr,ellopta,,a fizetését.,biztonsági őr,rendőr,Kinek a fizetésről van szó?,rendőr
63,21,2,self-directed,c,n,A tűzoltó,"hallotta,",hogy,az orvos,megmondta,,a véleményét.,tűzoltó,orvos,Kinek a véleményéről van szó?,orvos
96,29,2,other-directed,c,y,A földműves,"azt hitte,",hogy,a munkás,elvette,,a munkáját.,munkás,földműves,Kinek a munkájáról van szó?,földműves
12,4,1,contrastive,c,y,Tavaly,ilyenkor,a katonaság,többek,között,a helikoptert,tesztelte.,4b,4a,,4b
75,24,2,self-directed,c,n,Az építész,"megköszönte,",hogy,a mérnök,megosztotta,,a terveit.,építész,mérnök,Kinek a terveiről van szó?,mérnök
21,7,1,contrastive,c,n,Tegnap,este,mi,többek,között,ásványvizet,vettünk.,7a,7b,,7b
